Model Differences;;;;
Left: platform:/resource/net.dreiucker.DecDescLanguage/model/generated/DecDescLanguage.ecore;;  ;Right: platform:/resource/net.dreiucker.DecDescLanguage/model/generated/DecDescLanguage.ecore;
//Assumption/name; [ADDED to Assumption.eStructuralFeatures];+-;//Assumption/name; [DELETED from .eStructuralFeatures]
//Assumption/assumptionText; [ADDED to Assumption.eStructuralFeatures];+-;//Assumption/assumptionText; [DELETED from .eStructuralFeatures]
//EString;;<>;//EString;
//EString;;<>;//EString;
//EString;;<>;//EString;
//EString;;<>;//EString;
//Status/DECIDED; [ADDED to Status.eStructuralFeatures];+-;//Status/DECIDED; [DELETED from .eStructuralFeatures]
//Status/APPROVED; [ADDED to Status.eStructuralFeatures];+-;//Status/APPROVED; [DELETED from .eStructuralFeatures]
//Status/PENDING; [ADDED to Status.eStructuralFeatures];+-;//Status/PENDING; [DELETED from .eStructuralFeatures]
//Status/DECLINED; [ADDED to Status.eStructuralFeatures];+-;//Status/DECLINED; [DELETED from .eStructuralFeatures]
//Definition; [ADDED to Assumptions.eSuperTypes];+-;//Definition; [REMOVED from .eSuperTypes]
//Definition; [ADDED to Constraints.eSuperTypes];+-;//Definition; [REMOVED from .eSuperTypes]
//Definition; [ADDED to SolutionsDefinitionBlock.eSuperTypes];+-;//Definition; [REMOVED from .eSuperTypes]
;;+-;;
//Model; [ADDED to decDescLanguage.eClassifiers];+-;//Model; [DELETED from .eClassifiers]
//Definition; [ADDED to decDescLanguage.eClassifiers];+-;//Definition; [DELETED from .eClassifiers]
//Decision; [ADDED to decDescLanguage.eClassifiers];+-;//Decision; [DELETED from .eClassifiers]
//Status; [ADDED to decDescLanguage.eClassifiers];+-;//Status; [DELETED from .eClassifiers]
//Assumptions; [ADDED to decDescLanguage.eClassifiers];+-;//Assumptions; [DELETED from .eClassifiers]
//AbstractAssumptions; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractAssumptions; [DELETED from .eClassifiers]
//AbstractAssumption; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractAssumption; [DELETED from .eClassifiers]
//Assumption; [ADDED to decDescLanguage.eClassifiers];+-;//Assumption; [DELETED from .eClassifiers]
//Constraints; [ADDED to decDescLanguage.eClassifiers];+-;//Constraints; [DELETED from .eClassifiers]
//AbstractConstraints; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractConstraints; [DELETED from .eClassifiers]
//AbstractConstraint; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractConstraint; [DELETED from .eClassifiers]
//Constraint; [ADDED to decDescLanguage.eClassifiers];+-;//Constraint; [DELETED from .eClassifiers]
//SolutionsDefinitionBlock; [ADDED to decDescLanguage.eClassifiers];+-;//SolutionsDefinitionBlock; [DELETED from .eClassifiers]
//AbstractSolutions; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractSolutions; [DELETED from .eClassifiers]
//AbstractSolution; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractSolution; [DELETED from .eClassifiers]
//Solution; [ADDED to decDescLanguage.eClassifiers];+-;//Solution; [DELETED from .eClassifiers]
//SolutionDecision; [ADDED to decDescLanguage.eClassifiers];+-;//SolutionDecision; [DELETED from .eClassifiers]
//Reasoning; [ADDED to decDescLanguage.eClassifiers];+-;//Reasoning; [DELETED from .eClassifiers]
//AlternativesBlock; [ADDED to decDescLanguage.eClassifiers];+-;//AlternativesBlock; [DELETED from .eClassifiers]
//AbstractPerson; [ADDED to decDescLanguage.eClassifiers];+-;//AbstractPerson; [DELETED from .eClassifiers]
//Person; [ADDED to decDescLanguage.eClassifiers];+-;//Person; [DELETED from .eClassifiers]
